date,monitor_id,latitude,longitude,rolling_12mo_avg
01/11/2022,BMT-11,30.06474,-94.0527,0.58
01/11/2022,BMT-12,30.06382,-94.05473,0.59
01/11/2022,BMT-13,30.06308,-94.05812,0.9
01/11/2022,BMT-14,30.0609,-94.06012,0.87
01/11/2022,BMT-15,30.05632,-94.06226,0.72
01/11/2022,BMT-16,30.0564,-94.06921,0.87
01/11/2022,BMT-17,30.05087,-94.06865,0.71
01/11/2022,BMT-18,30.0468,-94.07106,1.0
01/11/2022,BMT-19,30.04831,-94.07391,0.92
01/11/2022,BMT-20,30.05013,-94.07581,0.92
01/11/2022,BMT-21,30.05423,-94.0797,0.73
01/11/2022,BMT-22,30.05793,-94.07944,0.8
01/11/2022,BMT-23,30.0594,-94.0786,0.84
01/11/2022,BMT-24,30.06203,-94.0795,0.68
01/11/2022,BMT-25,30.06612,-94.07808,0.84
01/11/2022,BMT-26,30.06983,-94.07565,1.3
01/11/2022,BMT-27,30.07475,-94.07576,1.0
01/12/2021,BMT-01,30.07664,-94.07121,2.0
01/12/2021,BMT-02,30.07667,-94.06785,1.6
01/12/2021,BMT-03,30.07583,-94.06433,3.4
01/12/2021,BMT-05,30.07319,-94.05821,4.8
01/12/2021,BMT-06,30.07097,-94.05761,2.1
01/12/2021,BMT-07,30.06816,-94.058,1.5
01/12/2021,BMT-08,30.06701,-94.05709,1.1
01/12/2021,BMT-09,30.06896,-94.05434,0.66
01/12/2021,BMT-10,30.06711,-94.05172,0.62
01/12/2021,BMT-11,30.06474,-94.0527,0.76
01/12/2021,BMT-12,30.06382,-94.05473,0.86
01/12/2021,BMT-13,30.06308,-94.05812,0.95
01/12/2021,BMT-14,30.0609,-94.06012,1.0
01/12/2021,BMT-15,30.05632,-94.06226,0.92
01/12/2021,BMT-16,30.0564,-94.06921,1.0
01/12/2021,BMT-17,30.05087,-94.06865,0.9
01/12/2021,BMT-18,30.0468,-94.07106,1.1
01/12/2021,BMT-19,30.04831,-94.07391,0.87
01/12/2021,BMT-20,30.05013,-94.07581,1.0
01/12/2021,BMT-21,30.05423,-94.0797,0.88
01/12/2021,BMT-22,30.05793,-94.07944,0.88
01/12/2021,BMT-23,30.0594,-94.0786,1.1
01/12/2021,BMT-24,30.06203,-94.0795,0.78
01/12/2021,BMT-25,30.06612,-94.07808,0.92
01/12/2021,BMT-26,30.06983,-94.07565,1.3
01/12/2021,BMT-27,30.07475,-94.07576,1.3
01/14/2020,BMT-01,30.07664,-94.07121,2.8
01/14/2020,BMT-02,30.07667,-94.06785,2.7
01/14/2020,BMT-03,30.07583,-94.06433,2.9
