Sampler Name,BMT-01,BMT-02,BMT-03,BMT-04*,BMT-05,BMT-06,BMT-07,BMT-08,BMT-09,BMT-10,BMT-11,BMT-12,BMT-13,BMT-14,BMT-15**,BMT-16,BMT-17,BMT-18,BMT-19,BMT-20,BMT-21,BMT-22,BMT-23,BMT-24,BMT-25,BMT-26,BMT-27
12/10/2024,2.9,2.6,2.1,3.4,5.2,1.2,1.2,0.9,0.9,0.8,0.8,0.9,1.2,1.1,0.9,1.2,1.0,1.0,1.9,2.0,1.1,1.4,1.4,1.2,1.4,2.6,1.2
12/24/2024,6.2,2.0,2.3,6.6,3.3,2.1,0.9,0.8,0.7,0.7,0.7,0.8,1.1,1.4,1.0,1.0,1.0,1.0,1.7,1.6,1.1,1.0,1.2,1.0,1.3,2.7,2.2
1/7/2025,1.8,2.3,2.2,6.2,5.0,1.4,0.8,0.8,0.7,0.6,0.6,0.7,1.5,1.1,0.9,1.0,10.0,1.9,1.5,1.5,1.0,0.9,1.1,0.8,1.0,2.2,1.9
1/20/2025,2.4,2.8,1.4,5.5,6.6,1.6,1.1,1.0,1.0,0.9,1.5,1.5,1.1,1.4,1.1,1.4,1.1,1.5,1.6,1.5,1.0,1.0,1.3,1.0,1.1,1.6,1.0
2/4/2025,6.1,9.9,4.4,6.6,5.6,1.9,1.5,1.3,0.9,1.0,1.0,*,1.6,1.6,1.8,1.2,1.1,1.2,1.8,1.8,1.2,1.2,1.3,1.2,1.4,2.8,2.0
2/18/2024,5.0,2.3,3.7,4.6,1.6,1.0,1.0,0.6,0.6,0.5,0.5,0.5,0.9,0.9,0.7,1.0,0.8,1.0,1.7,1.4,0.9,0.7,0.9,0.7,1.0,1.7,1.2
3/4/2025,3.2,1.7,2.6,4.0,10.0,1.5,1.1,0.9,0.8,0.9,0.8,0.8,1.5,1.3,1.2,1.8,1.2,1.4,2.1,2.1,1.6,1.4,1.5,1.4,1.5,3.2,3.1
,"Annual Average
∆C***",10,,,,,,,,,,,,,,,,,,,,,,,,,
"* Voluntary supplemental air monitoring equipment purchased by ExxonMobil at BMT-04 indicate Third Party marine vessel emissions, contributed to 62.3% of 02/18/2025 sample result.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** 1 On June 28, 2022 the BMCX-21 sample tube was found missing (potentially related to sample tube clip malfunction, clip repaired).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"**** On june 11, 2024 the BMT-24 sample tube was  was found to be leaking sorbent upon arrival to the lab for analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"* On February 04, 2025, the BMXC 12 sample tube was found to be leaking sorbent upon arrival to the lab for analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,
