Sampler Name,BMT-01,BMT-02,BMT-03,BMT-04*,BMT-05,BMT-06,BMT-07,BMT-08,BMT-09,BMT-10,BMT-11,BMT-12,BMT-13,BMT-14,BMT-15**,BMT-16,BMT-17,BMT-18,BMT-19,BMT-20,BMT-21,BMT-22,BMT-23,BMT-24,BMT-25,BMT-26,BMT-27
4/29/2025,210.0,3.3,4.7,19.0,1.0,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.4,0.6,0.5,0.5,0.8,0.8,0.7,0.7,0.9,0.9,1.1,1.9,2.8
5/13/2025,2.4,2.3,2.1,3.4,5.3,1.2,0.7,0.6,0.6,0.5,0.5,0.5,0.8,0.9,0.7,0.9,0.8,0.8,0.9,0.1,0.2,0.7,0.8,0.8,0.9,1.4,1.2
5/27/2025,4.4,3.7,1.2,2.0,0.7,0.6,0.4,0.5,0.4,0.3,0.4,0.3,0.5,0.5,0.5,0.7,0.4,0.6,0.7,0.8,0.5,0.6,0.6,0.5,1.0,0.9,0.9
6/10/2025,2.6,2.3,2.7,6.9,6.9,1.1,0.6,0.5,0.5,0.7,0.5,0.6,0.6,0.6,0.5,0.9,0.6,0.6,0.8,0.8,0.6,0.8,0.8,0.7,0.8,0.8,1.0
6/24/2025,3.3,2.9,3.7,26.0,1.3,0.8,0.5,0.5,0.5,0.4,0.4,0.5,0.7,0.6,0.4,0.8,0.5,0.5,0.7,0.8,0.5,0.7,0.6,0.6,0.9,0.9,1.0
7/8/2025,1.6,2.4,2.4,7.0,3.6,1.2,0.7,0.7,0.6,0.8,0.6,0.6,0.6,0.7,0.5,0.8,0.6,0.6,0.8,0.8,0.6,0.7,0.7,0.6,0.8,1.0,0.7
,"Annual Average
∆C***",17,,,,,,,,,,,,,,,,,,,,,,,,,
"* Voluntary supplemental air monitoring equipment purchased by ExxonMobil at BMT-04 indicate Third Party marine vessel emissions, contributed to 29.4%% of 07/08/2025 sample result.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"**** On june 11, 2024 the BMT-24 sample tube was found to be leaking sorbent upon arrival to the lab for analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"* On February 04, 2025, the BMT-12 sample tube was found to be leaking sorbent upon arrival to the lab for analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,
