geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count
Chambers,48071,2018,leukemia,~,29.6963741,-94.6694454,~
Cherokee,48073,2018,leukemia,~,31.8438787,-95.1563431,~
Childress,48075,2018,leukemia,~,34.5246609,-100.208194,0
Clay,48077,2018,leukemia,~,33.7859042,-98.2129174,~
Cochran,48079,2018,leukemia,~,33.6084401,-102.830449,~
Coke,48081,2018,leukemia,~,31.8771104,-100.6352305,0
Coleman,48083,2018,leukemia,~,31.9142052,-99.3466223,~
Collin,48085,2018,leukemia,16.4,33.1944818,-96.5794285,147
Collingsworth,48087,2018,leukemia,~,34.9633577,-100.2721351,0
Colorado,48089,2018,leukemia,~,29.5962618,-96.5088884,~
Comal,48091,2018,leukemia,29.3,29.8123773,-98.2581288,52
Comanche,48093,2018,leukemia,~,31.9516447,-98.5496169,~
Concho,48095,2018,leukemia,~,31.3188831,-99.8636485,~
Cooke,48097,2018,leukemia,~,33.6391964,-97.2103433,~
Coryell,48099,2018,leukemia,~,31.3911774,-97.7980223,~
Cottle,48101,2018,leukemia,~,34.0919063,-100.2764416,0
Crane,48103,2018,leukemia,~,31.4396085,-102.4925044,0
Crockett,48105,2018,leukemia,~,30.7175316,-101.4042113,~
Crosby,48107,2018,leukemia,~,33.609144,-101.2987099,~
Culberson,48109,2018,leukemia,~,31.4459085,-104.5269447,0
Dallam,48111,2018,leukemia,~,36.2863696,-102.5940204,~
Dallas,48113,2018,leukemia,16.2,32.7669866,-96.7784238,380
Dawson,48115,2018,leukemia,~,32.742528,-101.9487714,~
De Witt,48117,2018,leukemia,~,34.9407663,-102.6075637,~
Deaf Smith,48119,2018,leukemia,~,33.3859329,-95.6733504,~
Delta,48121,2018,leukemia,~,33.205132,-97.1211403,~
Denton,48123,2018,leukemia,19.6,29.0823457,-97.3616543,144
Dickens,48125,2018,leukemia,~,33.6153625,-100.7876176,0
Dimmit,48127,2018,leukemia,~,28.4235871,-99.7658713,0
Donley,48129,2018,leukemia,~,34.9550364,-100.8158457,~
Duval,48131,2018,leukemia,~,27.6811232,-98.4973933,~
Eastland,48133,2018,leukemia,~,32.3246454,-98.8365596,~
Ector,48135,2018,leukemia,14.5,31.8653008,-102.5425068,20
Edwards,48137,2018,leukemia,~,29.9859327,-100.3073997,0
El Paso,48141,2018,leukemia,13,31.7664559,-106.2415203,111
Ellis,48139,2018,leukemia,16.7,32.3468783,-96.7969403,31
Erath,48143,2018,leukemia,~,32.2362068,-98.2183364,~
Falls,48145,2018,leukemia,~,31.2519298,-96.9341275,~
Fannin,48147,2018,leukemia,~,33.5911611,-96.1049882,~
Fayette,48149,2018,leukemia,~,29.8778861,-96.9212309,~
