date,wind_speed,wind_direction_degrees
9/17/2018,3.26,277.4
9/18/2018,3.19,258.9
9/19/2018,3.11,212.6
9/20/2018,3.67,157.6
9/21/2018,4.88,154.8
9/22/2018,4.35,170.3
9/23/2018,4.36,192.7
9/24/2018,3.39,214.9
9/25/2018,4.02,177.5
9/26/2018,2.05,206.2
9/27/2018,3.34,345.5
9/28/2018,3.68,73.2
9/29/2018,4.2,89.5
9/30/2018,4.43,96.8
10/1/2018,3.95,90.7
10/2/2018,3.7,107.8
10/3/2018,3.51,138.2
10/4/2018,3.41,144.7
10/5/2018,4.93,134.7
10/6/2018,4.67,127
10/7/2018,6.01,128.5
10/8/2018,5.9,121.7
10/9/2018,5.17,112.9
10/10/2018,4.61,3.2
10/11/2018,5.29,23.9
10/12/2018,3.82,97.3
10/13/2018,6.33,154.5
10/14/2018,6.05,169.8
10/15/2018,4.57,56.9
10/16/2018,5.64,27.2
10/17/2018,5.81,25.3
10/18/2018,6.11,48.6
10/19/2018,4.52,82.6
10/20/2018,4.73,13.5
10/21/2018,6.32,40.2
10/22/2018,4.35,40.6
10/23/2018,5.61,28.3
10/24/2018,6.84,69.9
10/25/2018,5.44,307.6
10/26/2018,4.74,316.2
10/27/2018,3.76,237.1
10/28/2018,5.11,241
10/29/2018,4.83,213.4
10/30/2018,6.8,172.9
10/31/2018,7.13,171.4
11/1/2018,6.12,319.3
11/2/2018,4.42,281.3
11/3/2018,7.07,179.2
11/4/2018,5.06,105.6
11/5/2018,7,175.8
11/6/2018,3.95,182
11/7/2018,4.34,184.9
11/8/2018,3.23,51
11/9/2018,7.43,13.8
11/10/2018,4.98,31.3
11/11/2018,4.91,61.4
11/12/2018,6.83,0.4
11/13/2018,7.67,339.4
11/14/2018,5.75,328.1
11/15/2018,2.74,304.5
11/16/2018,3.05,194.5
11/17/2018,4.82,125.4
11/18/2018,3.11,103.9
11/19/2018,4.78,17.8
11/20/2018,5.9,18.5
11/21/2018,4.08,51.7
11/22/2018,3.58,73
11/23/2018,4.5,174.4
11/24/2018,3.76,171.5
11/25/2018,7.28,282.3
11/26/2018,6.91,343.2
11/27/2018,3.62,263
11/28/2018,5.78,178.7
11/29/2018,6.89,185.1
11/30/2018,6.91,157.7
12/1/2018,6.37,246.4
12/2/2018,4.94,327.2
12/3/2018,6.67,17.6
12/4/2018,5.72,15.7
12/5/2018,4.31,61.4
12/6/2018,5.48,110.4
12/7/2018,6.54,132.5
12/8/2018,6.93,301.6
12/9/2018,5.99,335.6
12/10/2018,4.17,334.1
12/11/2018,4.31,124.5
12/12/2018,6.79,147.7
12/13/2018,8.03,194.9
12/14/2018,7.65,276.7
12/15/2018,5.98,308.4
12/16/2018,2.88,40.6
12/17/2018,2.96,202.4
12/18/2018,4.16,110.8
12/19/2018,4.34,52.3
12/20/2018,9.15,316.8
12/21/2018,6.15,300.2
12/22/2018,6.93,188.1
12/23/2018,5.29,342.2
12/24/2018,5.15,101.4
12/25/2018,5.09,133.1
12/26/2018,9.34,122.4
12/27/2018,7.35,180.2
12/28/2018,5.95,24.3
12/29/2018,5.9,25.1
12/30/2018,2.81,13.7
12/31/2018,3.67,252.4
1/1/2019,5.01,24.1
1/2/2019,5.37,35.2
1/3/2019,6.1,331.8
1/4/2019,5.07,290.5
1/5/2019,2.88,206.3
1/6/2019,5.13,158.2
1/7/2019,6.02,183
1/8/2019,3.77,248.7
1/9/2019,6.01,25.3
1/10/2019,3.71,61.4
1/11/2019,5.44,112.2
1/12/2019,6.91,276.8
1/13/2019,5.39,359.1
1/14/2019,4.23,19.4
1/15/2019,2.56,76.7
1/16/2019,4.16,134.5
1/17/2019,5.47,231.7
1/18/2019,4.95,176.4
1/19/2019,10.82,304.2
1/20/2019,4.95,3.7
1/21/2019,6.27,129.6
1/22/2019,8.64,163.1
1/23/2019,7.39,316.6
1/24/2019,2.58,47.5
1/25/2019,3.47,114.4
1/26/2019,3.83,114.8
1/27/2019,3.21,334.4
1/28/2019,5.35,207.5
1/29/2019,7,15.9
1/30/2019,5.27,94.1
1/31/2019,6.45,107
2/1/2019,4.02,103.4
2/2/2019,4.33,106.5
2/3/2019,5.07,149.5
2/4/2019,4.8,175.7
2/5/2019,5.47,167.5
2/6/2019,6.75,167.9
2/7/2019,7.6,269.1
2/8/2019,7.62,19.8
2/9/2019,4.62,47.2
2/10/2019,5.64,109.4
2/11/2019,6.8,167.7
2/12/2019,7.48,324.1
2/13/2019,4.89,123.9
2/14/2019,7.57,195.4
2/15/2019,6.53,202.6
2/16/2019,3.98,143.3
2/17/2019,6.1,0.8
2/18/2019,7.9,46.4
2/19/2019,6.05,95.1
2/20/2019,5.1,350.6
2/21/2019,4.12,70.9
2/22/2019,5.36,145.6
2/23/2019,6.63,218
2/24/2019,6.2,12.8
2/25/2019,5.88,82.8
2/26/2019,5.15,83.6
2/27/2019,4.18,153.1
2/28/2019,3.35,321.6
3/1/2019,2.28,28.2
3/2/2019,3.72,74.4
3/3/2019,6.66,0.2
3/4/2019,6.35,4.4
3/5/2019,5.77,1.2
3/6/2019,5,97.8
3/7/2019,6.63,157.8
3/8/2019,7.4,183.3
3/9/2019,7.26,184.9
3/10/2019,3.93,136.9
3/11/2019,4.37,116.4
3/12/2019,6.5,117
3/13/2019,9.75,168.4
3/14/2019,6.54,318.1
3/15/2019,6.73,7.8
3/16/2019,4.16,28
3/17/2019,3.95,38.9
3/18/2019,4.59,73.5
3/19/2019,4.52,97.7
3/20/2019,3.02,130.9
