date,monitor_id,latitude,longitude,benzene_ug_m3
11/28/2023,BMT-01,30.07664,-94.07121,2.6
12/12/2023,BMT-01,30.07664,-94.07121,6.0
12/26/2023,BMT-01,30.07664,-94.07121,3.3
1/9/2024,BMT-01,30.07664,-94.07121,2.8
1/23/2024,BMT-01,30.07664,-94.07121,4.1
2/6/2024,BMT-01,30.07664,-94.07121,3.3
2/18/2024,BMT-01,30.07664,-94.07121,5.0
2/20/2024,BMT-01,30.07664,-94.07121,3.2
3/5/2024,BMT-01,30.07664,-94.07121,2.9
3/19/2024,BMT-01,30.07664,-94.07121,2.7
4/2/2024,BMT-01,30.07664,-94.07121,2.8
4/16/2024,BMT-01,30.07664,-94.07121,6.5
4/30/2024,BMT-01,30.07664,-94.07121,4.0
5/14/2024,BMT-01,30.07664,-94.07121,3.6
5/28/2024,BMT-01,30.07664,-94.07121,3.9
6/11/2024,BMT-01,30.07664,-94.07121,2.3
6/25/2024,BMT-01,30.07664,-94.07121,2.5
7/9/2024,BMT-01,30.07664,-94.07121,3.2
7/23/2024,BMT-01,30.07664,-94.07121,2.0
8/6/2024,BMT-01,30.07664,-94.07121,3.1
8/20/2024,BMT-01,30.07664,-94.07121,1.5
9/3/2024,BMT-01,30.07664,-94.07121,2.0
9/17/2024,BMT-01,30.07664,-94.07121,1.1
9/30/2024,BMT-01,30.07664,-94.07121,2.3
10/15/2024,BMT-01,30.07664,-94.07121,2.6
10/29/2024,BMT-01,30.07664,-94.07121,2.8
11/12/2024,BMT-01,30.07664,-94.07121,2.5
11/26/2024,BMT-01,30.07664,-94.07121,4.5
12/10/2024,BMT-01,30.07664,-94.07121,2.9
12/24/2024,BMT-01,30.07664,-94.07121,6.2
1/7/2025,BMT-01,30.07664,-94.07121,1.8
1/20/2025,BMT-01,30.07664,-94.07121,2.4
2/4/2025,BMT-01,30.07664,-94.07121,6.1
3/4/2025,BMT-01,30.07664,-94.07121,3.2
3/18/2025,BMT-01,30.07664,-94.07121,2.3
4/1/2025,BMT-01,30.07664,-94.07121,2.7
4/15/2025,BMT-01,30.07664,-94.07121,3.0
4/29/2025,BMT-01,30.07664,-94.07121,210.0
5/13/2025,BMT-01,30.07664,-94.07121,2.4
5/27/2025,BMT-01,30.07664,-94.07121,4.4
6/10/2025,BMT-01,30.07664,-94.07121,2.6
6/24/2025,BMT-01,30.07664,-94.07121,3.3
7/8/2025,BMT-01,30.07664,-94.07121,1.6
7/22/2025,BMT-01,30.07664,-94.07121,1.8
8/5/2025,BMT-01,30.07664,-94.07121,120.0
8/19/2025,BMT-01,30.07664,-94.07121,1.9
9/2/2025,BMT-01,30.07664,-94.07121,0.8
9/16/2025,BMT-01,30.07664,-94.07121,2.4
9/30/2025,BMT-01,30.07664,-94.07121,2.4
10/14/2025,BMT-01,30.07664,-94.07121,1.2
10/28/2025,BMT-01,30.07664,-94.07121,2.3
11/11/2025,BMT-01,30.07664,-94.07121,2.3
11/25/2025,BMT-01,30.07664,-94.07121,2.3
12/9/2025,BMT-01,30.07664,-94.07121,1.4
12/22/2025,BMT-01,30.07664,-94.07121,2.4
1/6/2026,BMT-01,30.07664,-94.07121,1.6
1/20/2026,BMT-01,30.07664,-94.07121,1.5
2/3/2026,BMT-01,30.07664,-94.07121,14.7
2/17/2026,BMT-01,30.07664,-94.07121,14.9
3/3/2026,BMT-01,30.07664,-94.07121,15.1
3/17/2026,BMT-01,30.07664,-94.07121,15.4
3/31/2026,BMT-01,30.07664,-94.07121,15.6
4/14/2026,BMT-01,30.07664,-94.07121,15.8
4/28/2026,BMT-01,30.07664,-94.07121,16.0
5/12/2026,BMT-01,30.07664,-94.07121,16.2
5/26/2026,BMT-01,30.07664,-94.07121,2.1
11/28/2023,BMT-02,30.07667,-94.06433,2.0
12/12/2023,BMT-02,30.07667,-94.06433,6.8
12/26/2023,BMT-02,30.07667,-94.06433,2.5
1/9/2024,BMT-02,30.07667,-94.06433,4.0
1/23/2024,BMT-02,30.07667,-94.06433,11.0
2/6/2024,BMT-02,30.07667,-94.06433,2.1
2/18/2024,BMT-02,30.07667,-94.06433,2.3
2/20/2024,BMT-02,30.07667,-94.06433,2.4
3/5/2024,BMT-02,30.07667,-94.06433,2.6
3/19/2024,BMT-02,30.07667,-94.06433,2.4
4/2/2024,BMT-02,30.07667,-94.06433,2.6
4/16/2024,BMT-02,30.07667,-94.06433,6.0
4/30/2024,BMT-02,30.07667,-94.06433,3.5
5/14/2024,BMT-02,30.07667,-94.06433,3.2
5/28/2024,BMT-02,30.07667,-94.06433,3.6
6/11/2024,BMT-02,30.07667,-94.06433,2.4
6/25/2024,BMT-02,30.07667,-94.06433,2.2
7/9/2024,BMT-02,30.07667,-94.06433,2.8
7/23/2024,BMT-02,30.07667,-94.06433,2.2
8/6/2024,BMT-02,30.07667,-94.06433,2.2
8/20/2024,BMT-02,30.07667,-94.06433,2.1
9/3/2024,BMT-02,30.07667,-94.06433,1.7
9/17/2024,BMT-02,30.07667,-94.06433,3.8
9/30/2024,BMT-02,30.07667,-94.06433,2.5
10/15/2024,BMT-02,30.07667,-94.06433,1.7
10/29/2024,BMT-02,30.07667,-94.06433,2.9
11/12/2024,BMT-02,30.07667,-94.06433,1.8
11/26/2024,BMT-02,30.07667,-94.06433,2.1
12/10/2024,BMT-02,30.07667,-94.06433,2.6
12/24/2024,BMT-02,30.07667,-94.06433,2.0
1/7/2025,BMT-02,30.07667,-94.06433,2.3
1/20/2025,BMT-02,30.07667,-94.06433,2.8
2/4/2025,BMT-02,30.07667,-94.06433,9.9
3/4/2025,BMT-02,30.07667,-94.06433,1.7
3/18/2025,BMT-02,30.07667,-94.06433,2.4
4/1/2025,BMT-02,30.07667,-94.06433,2.4
4/15/2025,BMT-02,30.07667,-94.06433,3.1
4/29/2025,BMT-02,30.07667,-94.06433,3.3
