date,monitor_id,latitude,longitude,rolling_12mo_avg
4/10/2018,BMT-03,30.07583,-94.06433,7.5
4/10/2018,BMT-05,30.07319,-94.05821,1.9
4/10/2018,BMT-06,30.07097,-94.05761,0.9
4/10/2018,BMT-07,30.06816,-94.058,0.9
4/10/2018,BMT-08,30.06701,-94.05709,0.9
4/10/2018,BMT-09,30.06896,-94.05434,0.7
4/10/2018,BMT-10,30.06711,-94.05172,0.7
4/10/2018,BMT-11,30.06474,-94.0527,0.8
4/10/2018,BMT-12,30.06382,-94.05473,4
4/10/2018,BMT-13,30.06308,-94.05812,0.9
4/10/2018,BMT-14,30.0609,-94.06012,1.2
4/10/2018,BMT-15,30.05644,-94.06226,1
4/10/2018,BMT-16,30.0564,-94.06921,1.7
4/10/2018,BMT-16,30.0564,-94.06921,1.6
4/10/2018,BMT-17,30.05087,-94.06865,1
4/10/2018,BMT-18,30.0468,-94.07106,1.1
4/10/2018,BMT-19,30.04831,-94.07391,1.4
4/10/2018,BMT-20,30.05013,-94.07581,1.4
4/10/2018,BMT-21,30.05423,-94.0797,0.9
4/10/2018,BMT-22,30.05793,-94.07944,1.1
4/10/2018,BMT-23,30.0594,-94.0786,1.4
4/10/2018,BMT-24,30.06203,-94.0795,1.6
4/10/2018,BMT-25,30.06612,-94.07808,1.5
4/10/2018,BMT-26,30.06983,-94.07565,2.9
4/10/2018,BMT-27,30.07475,-94.07576,2
4/24/2018,BMT-01,30.07664,-94.07121,5.7
4/24/2018,BMT-01,30.07664,-94.07121,5.6
4/24/2018,BMT-02,30.07667,-94.06785,4
4/24/2018,BMT-03,30.07583,-94.06433,7.1
4/24/2018,BMT-05,30.07319,-94.05821,5.5
4/24/2018,BMT-06,30.07097,-94.05761,2.4
4/24/2018,BMT-07,30.06816,-94.058,1.9
4/24/2018,BMT-08,30.06701,-94.05709,1.4
4/24/2018,BMT-09,30.06896,-94.05434,0.9
4/24/2018,BMT-10,30.06711,-94.05172,0.9
4/24/2018,BMT-11,30.06474,-94.0527,0.9
4/24/2018,BMT-12,30.06382,-94.05473,1.2
4/24/2018,BMT-13,30.06308,-94.05812,2.3
4/24/2018,BMT-14,30.0609,-94.06012,3.6
4/24/2018,BMT-15,30.05644,-94.06226,1.1
4/24/2018,BMT-16,30.0564,-94.06921,1.1
4/24/2018,BMT-16,30.0564,-94.06921,1.1
4/24/2018,BMT-17,30.05087,-94.06865,0.8
4/24/2018,BMT-18,30.0468,-94.07106,1.3
4/24/2018,BMT-19,30.04831,-94.07391,1
4/24/2018,BMT-20,30.05013,-94.07581,0.9
4/24/2018,BMT-21,30.05423,-94.0797,0.9
4/24/2018,BMT-22,30.05793,-94.07944,1.2
4/24/2018,BMT-23,30.0594,-94.0786,1.4
4/24/2018,BMT-24,30.06203,-94.0795,1.3
4/24/2018,BMT-25,30.06612,-94.07808,1.3
4/24/2018,BMT-26,30.06983,-94.07565,2
4/24/2018,BMT-27,30.07475,-94.07576,1.8
5/8/2018,BMT-01,30.07664,-94.07121,5.9
5/8/2018,BMT-01,30.07664,-94.07121,5.8
5/8/2018,BMT-02,30.07667,-94.06785,2.5
5/8/2018,BMT-03,30.07583,-94.06433,3.4
5/8/2018,BMT-05,30.07319,-94.05821,4.9
5/8/2018,BMT-06,30.07097,-94.05761,1.4
5/8/2018,BMT-07,30.06816,-94.058,1.3
5/8/2018,BMT-08,30.06701,-94.05709,1.1
5/8/2018,BMT-09,30.06896,-94.05434,0.8
5/8/2018,BMT-10,30.06711,-94.05172,0.8
5/8/2018,BMT-11,30.06474,-94.0527,0.7
5/8/2018,BMT-12,30.06382,-94.05473,0.9
5/8/2018,BMT-13,30.06308,-94.05812,1
5/8/2018,BMT-14,30.0609,-94.06012,1.2
5/8/2018,BMT-15,30.05644,-94.06226,0.9
5/8/2018,BMT-16,30.0564,-94.06921,1
5/8/2018,BMT-16,30.0564,-94.06921,0.9
5/8/2018,BMT-17,30.05087,-94.06865,0.8
5/8/2018,BMT-18,30.0468,-94.07106,1
5/8/2018,BMT-19,30.04831,-94.07391,0.8
5/8/2018,BMT-20,30.05013,-94.07581,0.9
5/8/2018,BMT-21,30.05423,-94.0797,0.8
5/8/2018,BMT-22,30.05793,-94.07944,0.9
5/8/2018,BMT-23,30.0594,-94.0786,0.9
5/8/2018,BMT-24,30.06203,-94.0795,1.4
5/8/2018,BMT-25,30.06612,-94.07808,1.3
5/8/2018,BMT-26,30.06983,-94.07565,1.1
5/8/2018,BMT-27,30.07475,-94.07576,1.4
5/22/2018,BMT-01,30.07664,-94.07121,5.9
5/22/2018,BMT-01,30.07664,-94.07121,5.8
5/22/2018,BMT-02,30.07667,-94.06785,4
5/22/2018,BMT-03,30.07583,-94.06433,6.2
5/22/2018,BMT-05,30.07319,-94.05821,4.8
5/22/2018,BMT-06,30.07097,-94.05761,1.4
5/22/2018,BMT-07,30.06816,-94.058,1
5/22/2018,BMT-08,30.06701,-94.05709,0.9
5/22/2018,BMT-09,30.06896,-94.05434,0.9
5/22/2018,BMT-10,30.06711,-94.05172,0.8
5/22/2018,BMT-11,30.06474,-94.0527,0.8
5/22/2018,BMT-12,30.06382,-94.05473,0.9
5/22/2018,BMT-13,30.06308,-94.05812,0.8
5/22/2018,BMT-14,30.0609,-94.06012,0.7
5/22/2018,BMT-15,30.05644,-94.06226,0.7
5/22/2018,BMT-16,30.0564,-94.06921,0.9
5/22/2018,BMT-16,30.0564,-94.06921,0.9
5/22/2018,BMT-17,30.05087,-94.06865,0.8
5/22/2018,BMT-18,30.0468,-94.07106,0.7
